[2026-09-22 15:07:20.889] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:770c79fa3f8e90e56cce46aa:b154226ce0a4abee2e3bb78a165097c9:6ca03517360d77ac6a412ab647136c5b2eb2adda86a5e41d1638f3c33d2150f0]"
[2026-09-22 15:07:20.997] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:f7afa2fc7393038f6fab110a:17d4a2ed4d19d8be815ec5e357c1039f:90a4e11fa7878d6aa4da50506eee8f9f152b1f331d0d18fad997f1ca8e76666d]"
[2026-09-22 15:07:21.110] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:b6c4710d91d63eb6e478c939:0aa4ae70c1d2270937cc4b5fd21db5d3:58d2496eed7ff0222aa23633d0c1a2e5c9f4cf4aecad25077ae1ace06d95d6a6]"
[2026-09-22 15:07:21.222] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:0766b3c1aff38625405e7e7f:d9b2b8a3d3b259cd673276d629f63d0e:67330eacefa15ee128406344635af74d1dfefef07958cbf6ff595df58f3cfad1]"
[2026-09-22 15:07:21.327] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:7be806f3eaa57193d53ab38e:d100cf5dcd96fecd233f233b56ba32b8:a6bbd11fe892b7913e1779bd1a6478223ffc740f77140cac4638b871f10be227]"
[2026-09-22 15:07:21.464] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:55704986a32f1851400be6c0:a84a49929fc98dcf2701702576baa174:43229fcf46d5fa0d85a4985a11a4317df9c1441b80fe554d23f3733431c19fdc]"
[2026-09-22 15:07:21.555] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:7dee9c094e47523de6d4f23d:f0eb34cd204eb8888d541dea303509ab:d64ab1e056ebb72ee8bb3f6274c014c9ff19efec5e3319857fd7b534f49eb4d8]"
[2026-09-22 15:07:21.656] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:f0c5acaa854ed6e08903f49b:a9d362243ad09c2b397c46911837e2bb:56e71eb55a5d61f390b3788e2421cf9c575901cbe24fc3f69d5bcdac09f8cca6]"
[2026-09-22 15:07:21.779] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:e4dc7b4293c147617808f77f:c1b3ec0a9402f47cca27bffdcc1348fb:49ef32a708fe80774120a414ab804e2523aed611b91b784c33430e811641eeb6]"
[2026-09-22 15:07:21.880] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:7b13799457c342203e8f9a02:92cf65b15553a65178a09b8922d980a8:b3647d7b324d7156860c72b61bfe96a7fabeef12d2cdc476584ce1d1f8b6a531]"
[2026-09-22 15:07:21.997] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:2af437240078cfd759bd5509:3b6e568dc34b6c8599e3e8a9b223af14:bfd92d9789f5c7ba22ae62f0640f3065278db4950644da77df1405f631a9db72]"
[2026-09-22 15:07:22.102] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:f1ea1226fa6c132b72747d62:54ab4e6c8301a757b41729ff7588bbc1:33bc1b7590a06e8ea617024981a915419847932aab522b46db8020007cd3ace8]"
[2026-09-22 15:07:22.223] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:9c848510289c93ea5fad342f:6b67d33144506e0c19f5f04885d9d628:48a78599fd94a2fb2b2b3a87bb828501f0394813851d4333e61188cc23dcd318]"
[2026-09-22 15:07:22.407] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:10acc7d3da5b67a79c9a6bdb:b74df16bd29ce2fdd7bf79e471213507:63ee41d9caff08685c58f733f723619df3fe798ddd1c556f987f913849d9b9bf]"
[2026-09-22 15:07:22.488] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:5a43b93b5a553658d344166f:60761bd34c3ff7f3c8c3faab648a3935:06e09f2305c1b588cc920292ecf66d74bc8dc4417fc7693da0d935f54ff9aa48]"
